player,season,masters_date,n_prior_events,sg_total_weighted,sg_app_weighted,sg_putt_weighted,sg_arg_weighted,sg_ott_weighted,sg_t2g_weighted,top10_rate,cut_rate,augusta_fit,masters_appearances,masters_avg_finish,masters_best_finish,masters_wins,recent_form_bonus,l6_sg_total_avg,l6_sg_app_avg,l6_sg_putt_avg,l6_top10_rate,l6_cut_rate,l6_avg_finish,finish_position,made_cut,top32,top16,top10,top5,won
abraham ancer,2022,2022-04-10,12,-0.09629890308741726,-0.05537737424708074,-0.027297636130656142,-0.3782020720455257,0.2770992304115883,-0.15773981980922594,0.16666666666666666,0.75,-0.022381692479472158,2,19.5,13.0,0,0,0.21333333333333335,0.15333333333333335,-0.19000000000000006,0.0,0.6666666666666666,52.5,85.0,0,0,0,0,0,0
adam scott,2022,2022-04-10,12,0.6784019928985542,0.4819110588801807,0.5293257920352464,-0.29618241310891824,-0.06749839710818008,0.11796905365576363,0.25,0.8333333333333334,0.4849320902136943,7,32.42857142857143,9.0,0,0,0.6433333333333333,0.22833333333333336,0.54,0.16666666666666666,0.8333333333333334,39.833333333333336,48.0,1,0,0,0,0,0
bryson dechambeau,2022,2022-04-10,12,1.402180952344452,0.0987366399241989,0.550633113423474,-0.48493197467432053,1.2340160144892816,0.8494157834386488,0.25,0.75,0.6032597211426252,5,33.6,21.0,0,0,,,,0.0,0.5,49.75,85.0,0,0,0,0,0,0
brian harman,2022,2022-04-10,12,0.7863304070116058,0.18157041548400293,0.12774765990681952,0.03924731766731197,0.2751909160784287,0.4943849156297313,0.16666666666666666,0.6666666666666666,0.28046582106044815,3,45.333333333333336,12.0,0,0,1.3416666666666668,0.6183333333333333,-0.04666666666666671,0.3333333333333333,0.6666666666666666,40.833333333333336,85.0,0,0,0,0,0,0
billy horschel,2022,2022-04-10,12,1.4534428765497716,0.2474215066072437,0.5035924735402815,0.30042992238727223,0.2899653792947658,0.8339957715784817,0.25,0.9166666666666666,0.5637188229985827,6,53.5,17.0,0,0,1.8933333333333333,0.36000000000000004,0.6283333333333333,0.3333333333333333,0.8333333333333334,25.166666666666668,43.0,1,0,0,0,0,0
brooks koepka,2022,2022-04-10,12,-0.11446737103752806,-0.17655788461357472,0.2502075951334232,-0.3279850676653809,0.14136121452032013,-0.3600210013347521,0.16666666666666666,0.5833333333333334,0.018820483138605276,6,27.0,2.0,0,0,0.05833333333333335,-0.20333333333333337,0.49333333333333335,0.16666666666666666,0.5,45.166666666666664,85.0,0,0,0,0,0,0
bernhard langer,2022,2022-04-10,7,-0.6158261218340324,-0.35507734490993137,0.17051609337002702,0.06474201229901197,-0.49276985612953567,-0.7877497594294391,0.0,0.42857142857142855,-0.22387882781429252,7,57.57142857142857,24.0,0,0,-0.68,-0.595,0.32,0.0,0.5,66.66666666666667,85.0,0,0,0,0,0,0
bubba watson,2022,2022-04-10,12,-0.15598049514423049,-0.4411516182079402,-0.30885416605206056,0.31561846202022903,0.28114519421551015,0.15688477543218052,0.08333333333333333,0.6666666666666666,-0.27553081210117764,7,36.714285714285715,5.0,0,0,-0.1275,-0.39250000000000007,-0.4325,0.0,0.5,60.5,39.0,1,0,0,0,0,0
christiaan bezuidenhout,2022,2022-04-10,12,0.26288814472221356,0.027060803837680416,-0.03334678886854383,0.31457936951426024,0.15370833508929443,0.4979264747600393,0.0,0.8333333333333334,0.05948551676456981,2,39.0,38.0,0,0,0.29500000000000004,0.015000000000000005,-0.014999999999999958,0.0,0.8333333333333334,41.166666666666664,44.0,1,0,0,0,0,0
cameron champ,2022,2022-04-10,12,-0.8244924385783384,-0.559183702688998,-0.18827807272256708,-0.3715537214223778,0.6742042594148453,-0.25755841853256967,0.08333333333333333,0.75,-0.3604207017625538,2,22.5,19.0,0,0,-0.9050000000000001,-0.5750000000000001,-0.17,0.0,0.6666666666666666,69.0,10.0,1,1,1,1,0,0
