,n_rounds,made_cut,season,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,finish_pos
n_rounds,1.0,0.9975469736479916,-0.0192752401539112,0.2125564826620504,0.27852002684158783,0.5619206074277387,0.2826371809194658,0.5774262461175176,0.6611711374147773,-0.8022417377656806
made_cut,0.9975469736479916,1.0,-0.014243143150627599,0.20569768146643436,0.2733070419782662,0.5574025425099106,0.3079793226915567,0.5839964286602012,0.6634357651926651,-0.8004659907343635
season,-0.0192752401539112,-0.014243143150627599,1.0,,,,,,,0.2097800166807642
sg_putt,0.2125564826620504,0.20569768146643436,,1.0,-0.19375632075209526,-0.039055110852712724,-0.17863133981769683,-0.18873087449081166,0.38987647483026855,-0.3048390683595171
sg_arg,0.27852002684158783,0.2733070419782662,,-0.19375632075209526,1.0,0.16198677057045538,0.19977365959587695,0.6271896303584235,0.4784027413221966,-0.3902352478422909
sg_app,0.5619206074277387,0.5574025425099106,,-0.039055110852712724,0.16198677057045538,1.0,0.18863914336091778,0.7367428188675579,0.6687664533658155,-0.6081019301820606
sg_ott,0.2826371809194658,0.3079793226915567,,-0.17863133981769683,0.19977365959587695,0.18863914336091778,1.0,0.6513069206081508,0.5093212590339096,-0.3703848332949546
sg_t2g,0.5774262461175176,0.5839964286602012,,-0.18873087449081166,0.6271896303584235,0.7367428188675579,0.6513069206081508,1.0,0.8307331167441445,-0.6934717472920066
sg_total,0.6611711374147773,0.6634357651926651,,0.38987647483026855,0.4784027413221966,0.6687664533658155,0.5093212590339096,0.8307331167441445,1.0,-0.8225578757209913
finish_pos,-0.8022417377656806,-0.8004659907343635,0.2097800166807642,-0.3048390683595171,-0.3902352478422909,-0.6081019301820606,-0.3703848332949546,-0.6934717472920066,-0.8225578757209913,1.0
